Time,Tx,Ty,Tz
0.0,0.0,0.0,0.0
0.025,0.00020800000000000001,-0.000162,-0.000123
0.05,0.00028199999999999997,-0.000182,-0.00021799999999999999
0.075,0.0005,-0.000195,-0.00035299999999999996
0.1,0.000653,-0.000228,-0.000536
0.125,0.000806,-0.000426,-0.000602
0.15,0.000806,-0.0005,-0.000902
0.175,0.0009,-0.0006609999999999999,-0.0011840000000000002
0.2,0.0010149999999999998,-0.000847,-0.00152
0.225,0.0011619999999999998,-0.001048,-0.0019180000000000002
0.25,0.0013530000000000003,-0.001248,-0.002384
0.275,0.001599,-0.001433,-0.0029230000000000003
0.3,0.00191,-0.001586,-0.0035410000000000003
0.325,0.002296,-0.001694,-0.0042450000000000005
0.35,0.002767,-0.0017480000000000002,-0.005041
0.375,0.003172,-0.001712,-0.0058920000000000005
0.4,0.004041,-0.0017209999999999999,-0.006861000000000001
0.425,0.004916,-0.0015519999999999998,-0.00818
0.45,0.0056689999999999996,-0.0014169999999999999,-0.009288000000000001
0.475,0.006619,-0.00161,-0.010593
0.5,0.007821,-0.001896,-0.012055
0.525,0.009004,-0.002101,-0.013496
0.55,0.01052,-0.001839,-0.014862
0.575,0.011913,-0.001835,-0.01635
0.6,0.013250999999999999,-0.001957,-0.017922
0.625,0.014734000000000002,-0.002048,-0.019432
0.65,0.016744,-0.001936,-0.0211
0.675,0.018586,-0.001601,-0.023028000000000003
0.7,0.020598,-0.001482,-0.02492
0.725,0.022674,-0.001286,-0.026724
0.75,0.024974,-0.000993,-0.028414000000000002
0.775,0.027030000000000002,-0.000304,-0.030149000000000002
0.8,0.029198,9.300000000000001e-05,-0.031475
0.825,0.031386,0.0007040000000000001,-0.032608000000000005
0.85,0.033972,0.000978,-0.033387
0.875,0.036054,0.001374,-0.033832999999999995
0.9,0.037811,0.0016669999999999999,-0.033993
0.925,0.039869,0.001783,-0.03394300000000001
0.95,0.04126,0.001693,-0.033695
0.975,0.04199800000000001,0.001247,-0.033089
1.0,0.042503,0.0007809999999999999,-0.032
1.025,0.043,6.8e-05,-0.030451
1.05,0.04303800000000001,-0.000994,-0.028147
1.075,0.042818,-0.002005,-0.024903
1.1,0.04272,-0.002761,-0.020536
1.125,0.042451,-0.002803,-0.015299000000000002
1.15,0.041972999999999996,-0.002867,-0.00872
1.175,0.041372,-0.002988,-0.000968
1.2,0.04106800000000001,-0.003487,0.008154999999999999
1.225,0.041211000000000005,-0.0037960000000000003,0.018457
1.25,0.041351000000000006,-0.0032939999999999996,0.029859
1.275,0.041268,-0.003839,0.042355
1.3,0.041674,-0.005071000000000001,0.055526000000000006
1.325,0.042755,-0.006730000000000001,0.069211
1.35,0.0437,-0.00734,0.08290399999999999
1.375,0.044856,-0.007567999999999999,0.096884
1.4,0.046527,-0.007986,0.11086499999999999
1.425,0.048268,-0.008513999999999999,0.12437000000000001
1.45,0.04920399999999999,-0.008798,0.137276
1.475,0.050033,-0.008558,0.150528
1.5,0.051254,-0.008339000000000001,0.163775
1.525,0.051651,-0.007955,0.175879
1.55,0.050794,-0.007559,0.18748599999999999
1.575,0.050284,-0.006581,0.19871099999999997
1.6,0.05027,-0.005651,0.20821900000000002
1.625,0.049298,-0.004955,0.217094
1.65,0.048052,-0.004699,0.224692
1.675,0.047273,-0.004426,0.229368
1.7,0.047473,-0.0031019999999999997,0.23161
1.725,0.048815,-0.000817,0.231903
1.75,0.049563,-0.00043799999999999997,0.229604
1.775,0.051128,0.000308,0.22355900000000004
1.8,0.054273999999999996,0.002219,0.21403999999999998
1.825,0.057266000000000004,0.003866,0.202102
1.85,0.060523999999999994,0.004575,0.18647299999999997
1.875,0.062566,0.004216999999999999,0.166321
1.9,0.063886,0.004288999999999999,0.142207
1.925,0.06364,0.004288,0.114193
1.95,0.06329699999999999,0.004116000000000001,0.08160099999999999
1.975,0.062076,0.0047139999999999994,0.04443600000000001
2.0,0.06224899999999999,0.006013,0.0026910000000000002
2.025,0.066157,0.0060609999999999995,-0.037866
2.05,0.067615,0.0030580000000000004,-0.07506600000000001
2.075,0.067167,0.0008209999999999999,-0.11017
2.1,0.068394,-0.0005589999999999999,-0.137868
2.125,0.06903000000000001,-0.0017250000000000002,-0.155571
2.15,0.068203,-0.002269,-0.166502
2.175,0.066473,-0.004211,-0.17138599999999998
2.2,0.06363300000000001,-0.006287000000000001,-0.16984900000000003
2.225,0.06123699999999999,-0.008061,-0.163873
2.25,0.05834,-0.008827999999999999,-0.151113
2.275,0.055457,-0.009791000000000001,-0.132098
2.3,0.053363999999999995,-0.010358,-0.10715700000000002
2.325,0.051725,-0.010667,-0.076967
2.35,0.049534,-0.011602,-0.04277
2.375,0.045968999999999996,-0.012007,-0.00554
2.4,0.04179600000000001,-0.015435,0.032981
2.425,0.040582,-0.017879000000000003,0.064582
2.45,0.040979999999999996,-0.025154,0.088511
2.475,0.033306999999999996,-0.024591,0.107148
2.5,0.035647,-0.028928000000000002,0.12622
2.525,0.035254,-0.028653,0.148122
2.55,0.03452,-0.030971,0.16271000000000002
2.575,0.030701,-0.033046,0.175043
2.6,0.027174,-0.032261,0.18672299999999997
2.625,0.026890999999999998,-0.031833,0.196315
2.65,0.022812,-0.033686,0.20606200000000002
2.675,0.020035999999999998,-0.033851,0.21508700000000003
2.7,0.018387999999999998,-0.031861,0.22075999999999998
2.725,0.014749,-0.03175,0.225538
2.75,0.012709000000000002,-0.032955,0.230852
2.775,0.01087,-0.033065,0.235146
2.8,0.010674000000000001,-0.032301,0.23489500000000002
2.825,0.011787,-0.030683000000000002,0.23325599999999996
2.85,0.013290999999999999,-0.029605999999999997,0.23105900000000001
2.875,0.015425000000000001,-0.028059999999999998,0.22836199999999998
2.9,0.018366,-0.025996,0.222328
2.925,0.022275,-0.024724,0.212899
2.95,0.025980999999999997,-0.023510000000000003,0.203048
2.975,0.029565,-0.021827,0.191239
3.0,0.035116999999999995,-0.021391999999999998,0.17640400000000003
3.025,0.03755,-0.019852,0.159371
3.05,0.041696000000000004,-0.019037,0.138976
3.075,0.043231,-0.017924,0.11475299999999998
3.1,0.045998000000000004,-0.017297999999999997,0.08728799999999999
3.125,0.04548,-0.014292999999999998,0.053895000000000005
3.15,0.046178000000000004,-0.010414999999999999,0.015488
3.175,0.049277,-0.008585,-0.023696
3.2,0.053486000000000006,-0.010485999999999999,-0.06026600000000001
3.225,0.055446999999999996,-0.012567,-0.093566
3.25,0.05757899999999999,-0.014033,-0.122509
3.275,0.059521,-0.015009999999999999,-0.14343
3.3,0.061086999999999995,-0.015005999999999999,-0.156512
3.325,0.061792,-0.015554,-0.16222299999999998
3.35,0.060868000000000005,-0.016896,-0.16167700000000002
3.375,0.058436999999999996,-0.01747,-0.155505
3.4,0.056479,-0.0177,-0.143457
3.425,0.05462399999999999,-0.018474,-0.125557
3.45,0.052521,-0.018659000000000002,-0.101707
3.475,0.051496,-0.018156,-0.072003
3.5,0.049471,-0.017659,-0.039041
3.525,0.044913,-0.017391999999999998,-0.0025989999999999997
3.55,0.04245,-0.018697,0.035808
3.575,0.042388,-0.020565,0.068528
3.6,0.042753,-0.022888000000000002,0.09449600000000001
